import_type,topic_number,topic_name,question_number,position,statement,option_a,option_b,option_c,option_d,correct_option,source_name
TOPIC,2,Tema 2,50,50,El nombramiento por parte del Rey del Presidente del Gobierno será refrendado por:,El Presidente de las Cortes Generales.,El Presidente del Congreso de los Diputados.,Por el Presidente del Senado.,Por el Jefe de la Casa del Rey.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,51,51,La designación de Don Juan Carlos de Borbón como sucesor a título de Rey en la Jefatura del Estado se produce:,En el año 1947 tras la promulgación de la Ley de Sucesión a la Jefatura del Estado donde se define por primera vez a España como un Reino.,"En el año 1969 cuando de acuerdo con la Ley de Sucesión, Franco propone a las Cortes y éstas aceptan la designación de Don Juan Carlos como su sucesor a título de Rey en la Jefatura del Estado.",Tras el fallecimiento del general Franco y su proclamación como Rey de España el 22 de noviembre de 1975.,Tras el referéndum de la Ley para la Reforma Política en el año 1976 donde se legitima democráticamente la institución de la Corona.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,52,52,Señala la respuesta correcta:,"Extinguidas las líneas llamadas en Derecho, las Cortes Generales proveerán a la sucesión en la Corona de la forma que más convenga a los intereses de España.",Las abdicaciones y renuncias y cuantas dudas surjan en el orden sucesorio serán reguladas por una ley orgánica.,Ambas respuestas son correctas.,Ambas respuestas son falsas.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,53,53,"Entre las funciones del Rey, se encuentra:","Ser informado de los asuntos de Estado y presidir, a estos efectos, las sesiones del Consejo de Ministros, cuando lo estime oportuno, a petición del Presidente del Gobierno.","Ser informado de los asuntos de Estado y presidir, a estos efectos, las sesiones del Consejo de Ministros, en todo caso, a petición del Presidente del Gobierno.","Ser informado de los asuntos de la Corona y presidir, a estos efectos, las sesiones del Consejo de Ministros, cuando lo estime oportuno.","Ser informado de los asuntos de la Corona y presidir, a estos efectos, las sesiones del Consejo de Ministros, en todo caso.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,54,54,La forma política del Estado español es:,La monarquía absoluta.,La república federal.,La monarquía federal.,La monarquía parlamentaria.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,55,55,En qué artículos del código penal están recogidos los delitos contra la corona:,Del 482 al 490.,Del 485 al 491.,Del 486 al 495.,Del 483 al 493.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,56,56,En relación con lo establecido en el Título II de la Constitución Española sobre la Corona. señala la respuesta incorrecta:,"Si no hubiere ninguna persona a quien corresponda la Regencia, ésta será nombrada por las Cortes Generales, y se compondrá de una, tres o cinco personas.",Las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por las Cortes Generales.,"El Rey, al ser proclamado ante las Cortes Generales, prestará juramento de desempeñar fielmente sus funciones, guardar y hacer guardar la Constitución y las leyes y respetar los derechos de los ciudadanos y de las Comunidades Autónomas.","Aquellas personas que teniendo derecho a la sucesión en el trono contrajeren matrimonio contra la expresa prohibición del Rey y de las Cortes Generales, quedarán excluidas en la sucesión a la Corona por sí y sus descendientes.",B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,57,57,Según el art 60 de la Constitución Española será tutor del Rey menor:,"La persona que en su testamento hubiese nombrado el Rey difunto, siempre que sea mayor de edad y español de nacimiento.",La persona que designe el Congreso de los Diputados.,"El pariente mayor de edad más próximo a suceder en la Corona, según el orden establecido en la Constitución.",Ninguna de las anteriores respuestas es correcta.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,58,58,"Conforme a lo previsto en el artículo 57.3 de la Constitución Española, extinguidas todas las líneas llamadas en Derecho:",Pasará a ejercer la regencia el príncipe mayor de edad.,Las Cortes Generales proveerán a la sucesión en la Corona mediante ley.,Las Cortes Generales proveerán a la sucesión en la Corona en la forma que más convenga a los intereses de España.,Se disolverán las Cortes y se convocarán nuevas elecciones.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,59,59,La Corona es:,Hereditaria y no perpetua.,Hereditaria y vitalicia.,Vitalicia y perpetua.,Vitalicia e inviolable.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,60,60,"Comete un delito tipificado dentro de los Delitos contra la Corona ,Capítulo II, Título XXI:",El que matare a cualquiera de las hermanas del Rey.,"El que causare a cualquiera de las hijas del Rey una lesión que menoscabe su integridad corporal o su salud física o mental, siempre que la misma requiera objetivamente para su sanidad, además de una primera asistencia facultativa, tratamiento médico o quirúrgico.",El que hurtare al Rey objetos por valor inferior a cuatrocientos euros.,"El que utilizare, en todo caso y sin la debida autorización, la imagen del Rey.",B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,61,61,"Con respecto a la Corona de España, la Regencia se ejercerá:",Cuando el Rey sea menor de edad.,Cuando el Rey se inhabilitare para el ejercicio de su autoridad.,Ambas son correctas.,Ambas son incorrectas.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,62,62,"Según el art. 57.5 de la Constitución española de 1978,:",Las abdicaciones y desistimientos y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por una ley general.,Las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por una ley estatal.,Las abdicaciones y renuncias y cualquier duda práctica o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por una ley constitucional.,Las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por una Iey orgánica.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,63,63,El artículo 57.5 de la Constitución Española dispone que las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán por ley orgánica. Sus precedentes históricos del constitucionalismo español son:,Año 1845.,Año 1876.,Año 1689.,Todos ellos.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,64,64,"Dónde vienen recogidos los delitos contra la Corona en el Código Penal aprobado por Ley Orgánica 10/1995, de 23 de noviembre:","En el Capítulo II, del Título XXI, del Libro II.","En el Capítulo IV, del Título XXI, del Libro II.","En el Capítulo III, del Título XXII, del Libro II.","En el Capítulo V, del Título XXIII, del Libro II.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,65,65,"Siguiendo el orden regular de sucesión al trono de España, tendrá preferencia siempre:",La línea indirecta a las colaterales.,La línea anterior a las posteriores.,Ambas son correctas.,Ambas son incorrectas.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,66,66,El artículo 61.1 de la Constitución comprende que el Rey prestará juramento al ser:,Coronado.,Nombrado.,Proclamado.,Uncido.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,67,67,"Conforme a las disposiciones del Estatuto de Autonomía de la Comunitat Valenciana, y en relación con la Administración de justicia. No corresponde a la Generalitat Valenciana:",Proveer de medios materiales y económicos a la administración de justicia.,Ejercer en la comunidad valenciana todas las facultades que la Ley Orgánica del Poder Judicial atribuya al Gobierno de Estado.,La competencia para ordenar los servicios de justicia gratuita.,Proponer al Presidente del Tribunal superior de justicia de la Comunidad Valenciana para su nombramiento por el Rey.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,68,68,La Constitución dedica a la Corona el Título:,I.,II.,III.,IV.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,69,69,"Tras la abdicación de S.M. Don Juan Carlos I de Borbón, hereda la Corona de España su hijo Felipe, quien fue proclamado Rey ante las Cortes Generales el día:",2014-06-16 .,2014-07-19 .,2014-06-19 .,2014-05-16 .,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,70,70,"Las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona de España, será resuelta por:",El Gobierno.,"Las Cortes Generales, previo acuerdo adoptado en Consejo de Ministros.",Las Cortes Generales.,"Las Cortes Generales, previo consentimiento del Gobierno.",C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,71,71,Si se extinguen todas las líneas llamadas a la sucesión a la Corona:,Ejercerán sus funciones los Regentes.,Las Cortes Generales deberán proveer lo más conveniente a los intereses de España.,Ambas respuestas son correctas.,Ambas respuestas son incorrectas.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,72,72,"En cuanto a la regulación de La Corona prevista en el Título II de la Constitución Española, indique cuál es la afirmación incorrecta:","La persona del Rey es inviolable y no está sujeta a responsabilidad. Sus actos estarán siempre refrendados en la forma establecida, careciendo de validez sin dicho refrendo.","La Corona de España es hereditaria en los sucesores de S. M. Don Juan Carlos I de Borbón, legítimo heredero de la dinastía histórica. La sucesión en el trono seguirá el orden regular de primogenitura y representación, siendo preferida siempre la línea posterior a las anteriores; en la misma línea, el grado más próximo al más remoto; en el mismo grado, el varón a la mujer, y en el mismo sexo, la persona de más edad a la de menos.","Aquellas personas que teniendo derecho a la sucesión en el trono contrajeren matrimonio contra la expresa prohibición del Rey y de las Cortes Generales, quedarán excluidas en la sucesión a la Corona por sí y sus descendientes.","Si el Rey se inhabilitare para el ejercicio de su autoridad y la imposibilidad fuere reconocida por las Cortes Generales, entrará a ejercer inmediatamente la Regencia el Príncipe heredero de la Corona, si fuere mayor de edad. Si no lo fuere, se procederá de la manera prevista en el apartado anterior, hasta que el Príncipe heredero alcance la mayoría de edad.",B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,73,73,Corresponde al Rey manifestar el consentimiento del Estado para obligarse internacionalmente por medio de Tratados:,Verdadero.,"Falso, ésta es una competencia de las Cortes Generales.",Esta es competencia del Presidente del Gobierno.,Esta es una función que la Constitución reconoce al Congreso.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,74,74,"Corresponde al Rey declarar la guerra y hacer la paz, previa autorización de:",El Congreso.,Las Cortes Generales.,El Presidente del Gobierno.,El gobierno.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,75,75,Constitución Española. La prestación del consentimiento del Estado para obligarse por medio de tratados o convenios requerirá la previa autorización:,Del Gobierno.,De las Cortes Generales.,Del Rey.,Del Congreso.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,76,76,Cuál de las siguientes afirmaciones es la correcta:,La justicia emana del Rey y se administra en su nombre por Jueces y Magistrados integrantes del poder judicial.,La justicia emana del Rey y se administra en nombre del Pueblo Español por Jueces y Magistrados integrantes del poder judicial.,La justicia emana del pueblo y se administra en nombre del Rey por Jueces y Magistrados integrantes del poder judicial.,La justicia emana de las Cortes Generales y se administra en nombre del Rey por Jueces y Magistrados integrantes del Poder Judicial.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,77,77,El Presidente del Tribunal Superior de Justicia de la Comunitat Valenciana:,Será nombrado por el Rey a propuesta del Consejo General del Poder Judicial.,Será nombrado por el Presidente de la Generalitat Valenciana.,Será nombrado por las Cortes Valencianas a propuesta del Presidente de la Generalitat Valenciana.,Ninguna de las anteriores es correcta.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,78,78,Qué actos del Rey necesitan ser refrendados:,"Todos, sin excepción alguna.","Todos, salvo el nombramiento y relevo de los miembros civiles y militares de su Casa.",Los actos que tengan naturaleza política.,Los que supongan el consentimiento del Estado para obligarse internacionalmente por medio de los Tratados.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,79,79,El Rey:,Propone al candidato a Presidente del Tribunal Constitucional.,Propone y nombra al Presidente del Tribunal Constitucional.,Propone y nombra al Presidente del Gobierno.,Propone y nombra al Presidente del Tribunal Supremo.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,80,80,El Presidente del Tribunal Supremo será nombrado por el Rey a propuesta:,Del Gobierno.,Del Congreso de los Diputados.,Del Consejo General del Poder Judicial.,De las Cortes Generales.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,81,81,"Según la Constitución Española, a quién no corresponde la iniciativa legislativa:",Al Gobierno.,Al Rey.,Al Congreso de los Diputados.,Al Senado.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,82,82,Según la Constitución Española:,El Rey es el Jefe del Gobierno.,El Rey asume la más alta representación del Estado español en las relaciones internacionales.,La persona del Rey está sujeta a responsabilidad.,El Príncipe heredero tendrá la dignidad de Príncipe/Princesa de Asturias únicamente desde su mayoría de edad.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,83,83,"Corresponde al Rey, de acuerdo con el art. 62 de la Constitución Española:",Dirigir la Administración civil y militar y la defensa del Estado.,Dirigir la acción del gobierno.,"Declarar el estado de alarma, previa solicitud del Presidente del Gobierno.",Expedir los Decretos acordados en el Consejo de Ministros.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,84,84,El Presidente del Tribunal Constitucional será nombrado por (art. 160 de la Constitución española):,El rey y por un período de 3 años.,El Consejo General del Poder Judicial.,"El rey por un período de 9 años, renovable por terceras partes cada 3 años.",El Tribunal Constitucional en pleno y por un periodo de tres años.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,85,85,Quién nombra al Presidente del Gobierno:,El Congreso de los Diputados.,El Senado.,Las Cortes Generales.,El Rey.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,86,86,"Según el artículo 57.5 de la CE, los abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán:",Por una ley ordinaria.,Por un Decreto Ley.,Por una ley orgánica.,Ninguna de las anteriores es correcta.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,87,87,"Extinguidas todas las líneas llamadas en Derecho, proveerá a la sucesión en la Corona en la forma que más convenga a los intereses de España:",El Congreso de los Diputados.,El Senado.,El Presidente del Gobierno.,Las Cortes Generales.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,88,88,"El Tribunal Constitucional se compone de 12 miembros nombrados por el Rey, de ellos:","Cuatro a propuesta del Congreso, cuatro a propuesta del Senado, dos a propuesta del Gobierno y dos a propuesta del Consejo General del Poder Judicial.","Cuatro a propuesta del Congreso, cuatro a propuesta del Gobierno, dos a propuesta del Senado y dos a propuesta del Consejo General del Poder Judicial.","Cuatro a propuesta del Gobierno, cuatro a propuesta del Consejo General del Poder Judicial, dos a propuesta del Congreso y dos a propuesta del Senado.","Cuatro a propuesta del Congreso, cuatro a propuesta Consejo General del Poder Judicial, dos a propuesta del Gobierno y dos a propuesta del del Senado.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,89,89,"Extinguidas todas las líneas llamadas en Derecho, las Cortes Generales proveerán a la sucesión en la Corona:",Por una Ley Orgánica.,Por una Ley Ordinaria.,Por un Real Decreto.,En la forma que más convenga a los intereses de España.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,90,90,"En la sucesión al trono de España, dentro del mismo grado se prefiere el varón a la mujer, y en el mismo sexo:",La persona de más edad a la de menos.,El grado más próximo al más remoto.,La persona de menos edad a la de más edad.,Ninguna es correcta.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,91,91,Los delitos contra la Corona se encuentran regulados en el Código Penal:,De los artículo 485 a 491.,De los artículo 451 a 454.,De los artículo 492 a 505.,De los artículo 506 a 509.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,92,92,"Tras la abdicación de S.M. Don Juan Carlos I de Borbón, hereda la Corona de  España su hijo Felipe, quien fue proclamado Rey ante las Cortes Generales el día 19 de  junio de 2014, adoptando el nombre de:",Felipe VII.,Felipe VI.,Felipe V.,Felipe IV.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,93,93,"Cómo se resolverán las abdicaciones, renuncias y dudas relativas al orden de sucesión en la corona:",Mediante Ley de las cortes generales.,Mediante acuerdo del consejo de ministros.,En la forma que establezcan los reglamentos de las cámaras.,Mediante ley orgánica.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,94,94,Indique la afirmación correcta:,"La Reina consorte podrá asumir funciones constitucionales, incluidas lo dispuesto para la Regencia.","La Reina consorte o consorte de la Reina no podrán asumir funciones constitucionales, salvo lo dispuesto para la Regencia.",El consorte de la Reina y según el artículo 48 de la Constitución podrá asumir funciones constitucionales incluidas lo dispuesto para la Regencia.,Nadie es correcta.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,95,95,El Título II de la Constitución regula:,El Poder Judicial.,Economía y Hacienda.,La Corona.,Las Cortes Generales.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,96,96,"Según la Constitución Española de 1978, si el rey fuera inhabilitado para el ejercicio de su autoridad y la imposibilidad fuere reconocida por las Cortes Generales, entrará a ejercer inmediatamente la Regencia:",La persona o personas elegidas por las Cortes Generales.,El príncipe heredero de la Corona si fuera mayor de edad.,El príncipe heredero de la Corona.,La persona o personas elegidas por el Gobierno.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,97,97,Las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona se resolverán:,Por ley.,Por decreto ley.,Por decisión de las Cortes Generales.,Por ley orgánica.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,98,98,Qué artículo de la Constitución concluye el Título dedicado a la regulación de la Corona:,El artículo 63.,El artículo 64.,El artículo 65.,El artículo 66.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,99,99,"Conforme al tenor del artículo 57.5 de la Constitución Española, las abdicaciones y renuncias y cualquier duda de hecho o de derecho que ocurra en el orden de sucesión a la Corona:",Se resolverán por las Cortes Generales.,Se resolverán por el Congreso de los Diputados.,Se resolverán mediante ley.,Se resolverán por una ley orgánica.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,100,100,La Corona de España viene regulada en la Constitución de 1978 con el epígrafe de la Corona:,En el Preámbulo Coronado.,"En el Título II, arts 56 a 64.","En el Título II, arts 56 a 65.","En el Título 1, arts 1 a 9.",C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,101,101,Según el artículo 59 de la Constitución Española de 1978 podrán ser regentes:,"El padre o la madre del Rey, o el pariente mayor de edad más próximo a suceder en la Corona, según el orden establecido en la Constitución, en los casos de minoría de edad del Rey.","El Príncipe heredero de la Corona, si fuere mayor de edad, en los casos de inhabilitación del Rey.","Cualquier español, mayor de edad, si fuera nombrado por las Cortes y no hubiera ninguna persona a quien correspondiera la Regencia, según lo previsto en la Constitución.",Todas las respuestas anteriores son ciertas.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,102,102,Las dudas en el orden de sucesión a la Corona:,"Las resuelven las Cortes Generales, cuando sean dudas de hecho.",Las resuelven el Congreso de los Diputados mediante una norma con rango de ley.,Se resuelven por Ley orgánica.,Las resuelven las Cortes Generales en la forma que más convenga a los intereses de España.,C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,103,103,"La Reina consorte o el consorte de la Reina no podrán asumir funciones Constitucionales, salvo to dispuesto para la Regencia, según qué artículo de la CE:",Artículo 58 de la CE.,Artículo 58.1 de la CE.,Artículo 58.2 de la CE.,Artículo 58.3 de la CE.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,104,104,"Según la Constitución Española de 1978, si el Rey se inhabilitare para el ejercicio de su autoridad y la imposibilidad fuere reconocida por las Cortes Generales, entrará a ejercer inmediatamente la Regencia:",La persona o personas que elijan las Cortes Generales.,"El Príncipe heredero de la Corona, si fuere mayor de edad.",El Príncipe heredero de la Corona.,La persona o personas que elija el Gobierno.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,105,105,"Señala la respuesta correcta. La Constitución Española configura a la Corona como uno de los pilares fundamentales del estado, ordenado a través de la monarquía parlamentaria. La importancia de prever constitucionalmente la institución de la Regencia, para el desempeño de las funciones del Rey en situaciones de incapacidad de éste, es obvia, máxime si recordamos que, en nuestra historia pasada, la figura del Regente se ha visto siempre rodeada de una gran conflictividad. De ahí la conveniencia de regular jurídicamente y al más alto rango las situaciones de anomalía en el ejercicio de la Corona o de la Jefatura del Estado aun cuando las circunstancias actuales sean muy diferentes de las de nuestra Monarquía decimonónica. Así, el artículo 59.1 de la Constitución Española establece que:","Cuando el Rey fuere menor de edad, el padre o la madre del Rey y, en su defecto, el pariente mayor de edad más próximo a suceder en la Corona, según el orden establecido en la Constitución, entrará a ejercer inmediatamente la Regencia y la ejercerá durante el tiempo de la minoría de edad del Rey.","Si el Rey se inhabilitare para el ejercicio de su autoridad y la imposibilidad fuere reconocida por el Senado, entrará a ejercer inmediatamente la Regencia el Príncipe heredero de la Corona, si fuere mayor de edad. Si no lo fuere, se procederá de la manera prevista en el apartado anterior, hasta que el Príncipe heredero alcance la mayoría de edad.","Si no hubiere ninguna persona a quien corresponda la Regencia, ésta será nombrada por el Senado, y se compondrá de una, tres o cinco personas de entre las propuestas por el Congreso de los Diputados.","Si no hubiere ninguna persona a quien corresponda la Regencia, ésta será nombrada por el Congreso de los Diputados, y se compondrá de una, tres o cinco personas de entre las propuestas por el Senado.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,106,106,Señala la respuesta correcta:,"Las leyes de la Generalitat serán promulgadas, en nombre del Rey, por su Presidente y publicadas, en las dos lenguas oficiales en el Diario Oficial de La Generalitat en el plazo de diez días desde su aprobación, y en el Boletín Oficial del Estado. Para su entrada en vigor regirá la fecha de publicación en el Diario Oficial de la Generalitat.","Las leyes de la Generalitat serán promulgadas, en nombre del Rey, por su Presidente y publicadas, en las dos lenguas oficiales en el Diario Oficial de la Generalitat en el plazo de quince días desde su aprobación, y en el Boletín Oficial del Estado. Para su entrada en vigor regirá la fecha de publicación en el Diario Oficial de la Generalitat.","Las leyes de la Generalitat serán promulgadas, en nombre del Rey, por su Presidente y publicadas, en las dos lenguas oficiales en el Diario Oficial de la Generalitat en el plazo de veinte días desde su aprobación, y en el Boletín Oficial del Estado. Para su entrada en vigor regirá la fecha de publicación en el Diario Oficial de la Generalitat.","Las leyes de la Generalitat serán promulgadas, en nombre del Rey, por su Presidente y publicadas, en las dos lenguas oficiales en el Diario Oficial de la Generalitat en el plazo de treinta días desde su aprobación, y en el Boletín Oficial del Estado. Para su entrada en vigor regirá la fecha de publicación en el Diario Oficial de la Generalitat.",B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,107,107,Cuál de las siguientes funciones del Rey no están sujetas a refrendo:,Convocar y disolver las Cortes Generales y convocar elecciones en los términos previstos en la Constitución.,Nombrar y separar a los miembros del Gobierno a propuesta de su Presidente.,El mando supremo de las Fuerzas Armadas.,Nombrar y cesar libremente a los miembros civiles y militares de su Casa.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,108,108,"Conforme a lo dispuesto en el Estatuto de Autonomía de la Comunidad Valenciana, las leyes de la Generalitat serán promulgadas, en nombre del Rey, por su President y publicadas, en las dos lenguas oficiales en:","El Diario Oficial de la Generalitat en el plazo de quince días desde su aprobación, y en el Boletín Oficial del Estado.","El Diario Oficial de la Generalitat en el plazo de veinte días desde su aprobación, y en el Boletín Oficial del Estado.","El Boletín Oficial del Estado en el plazo de quince días desde su aprobación, y en el Diario Oficial de la Generalitat.","El Boletín Oficial del Estado en el plazo de veinte días desde su aprobación, y en el Diario Oficial de la Generalitat.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,109,109,"Conforme lo dispuesto en el artículo 124 de la Constitución Española, el Fiscal General del Estado:","Será nombrado por el Rey, a propuesta del Gobierno.","Será nombrado por el Rey, a propuesta del Consejo General del Poder Judicial.","Será nombrado por el Presidente del Gobierno, a propuesta del Consejo General del Poder Judicial.","Será nombrado por el Presidente del Gobierno, a propuesta del Gobierno.",A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,110,110,El presidente del Tribunal Supremo:,Es nombrado por el Rey a propuesta del Congreso y del Senado.,Es nombrado para un período de cuatro años.,Deberá ser un miembro de la carrera judicial.,Será también el presidente del Consejo General del Poder Judicial.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,111,111,El Presidente del Tribunal Constitucional será nombrado entre sus miembros:,"Por el Rey, a propuesta del mismo Tribunal en pleno y por un período de cinco años.","Por el Rey, a propuesta del mismo Tribunal en pleno y por un periodo de nueve años.","Por el Rey, a propuesta del mismo Tribunal en pleno y por un periodo de tres años.","Por el Rey, a propuesta del mismo Tribunal en pleno y por un período de seis años.",C,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,112,112,Los actos del Rey sin refrendo:,Podrían considerarse anulables.,Carecen de validez.,Pueden convalidarse por las Cortes Generales.,Pueden convalidarse mediante Ley Orgánica.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,113,113,La forma de Estado según queda redactado en el artículo 1.3 del texto Constitucional es:,Monarquía parlamentaria.,República democrática.,Monarquía absoluta.,República parlamentaria.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,114,114,Quién decreta la disolución del Senado:,El Rey.,El Consejo de Ministros.,El Presidente del Gobierno .,El Presidente del Senado.,A,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,115,115,Los actos del Rey que estarán siempre refrendados son:,Todos los actos del Rey deben ser refrendados por el Gobierno.,"Todos sus actos estarán siempre refrendados, salvo el nombramiento y relevo de los miembros civiles y militares de la Casa Real.",Todos los que hayan sido encomendados por las Cortes Generales.,Todos los que hayan sido encomendados por el Gobierno.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,116,116,El Rey asume la más alta representación del Estado español:,Ante los organismos internacionales.,En las relaciones internacionales.,En todo tipo de relaciones de carácter público.,En determinadas relaciones internacionales.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,117,117,"Planteada una cuestión de confianza, si el Congreso niega su confianza al Gobierno:",Este volverá a plantear una nueva cuestión de confianza en el plazo de dos meses.,Este presentará su dimisión al Rey.,El Rey ejercerá su labor de mediación para restaurar la confianza.,Se iniciarán los trámites para iniciar una moción de censura en el plazo de 5 días.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,118,118,A tenor de la Constitución Española:,"La persona del Rey ya no es inviolable, desde la reciente reforma de la Constitución.",La persona del Rey es inviolable pero no el Rey emérito.,La persona del Rey es inviolable y está sujeta a responsabilidad.,La persona del Rey es inviolable y no está sujeta a responsabilidad.,D,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,119,119,"Para ejercer la Regencia, según el art. 59 CE:",Es preciso ser español y estar casado/a con el Rey o ser pariente hasta 2º grado de consanguinidad.,Es preciso ser español y mayor de edad.,Se ejercerá por mandato del Senado y siempre en nombre del Rey.,"Es preciso ser español, con independencia de la edad.",B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,120,120,"De conformidad con el artículo 62 de la CE, NO corresponde al rey:",Sancionar y promulgar leyes.,Elegir a los miembros del gobierno.,Convocar referéndum en los casos previstos en la constitución.,Convocar referéndum en los casos previstos en la constitución.,B,Preguntas de Examenes Agente - Tema 2
TOPIC,2,Tema 2,121,121,"De los siguientes actos, indique cual NO corresponde al Rey:",Sancionar y promulgar las leyes.,Convocar elecciones en los términos previstos en la Constitución.,Convocar referéndum en los casos previstos por la Constitución.,"Autorizar, con el debido refrendo, los indultos generales.",D,Preguntas de Examenes Agente - Tema 2
